# PRIMAT v0.2.2, 23 June 2023 - Analytic Rate
# Wagoner, ApJS 18 (1969) 247
0.001	12.6111     3.
0.002	18.6022     3.
0.003	24.5933     3.
0.004	30.5844     3.
0.005	36.5755     3.
0.006	42.5666     3.
0.007	48.5577     3.
0.008	54.5488     3.
0.009	60.5399     3.
0.01	66.531     3.
0.011	72.5221     3.
0.012	78.5132     3.
0.013	84.5043     3.
0.014	90.4954     3.
0.015	96.4865     3.
0.016	102.4776     3.
0.018	114.4598     3.
0.02	126.442     3.
0.025	156.3975     3.
0.03	186.353     3.
0.04	246.264     3.
0.05	306.175     3.
0.06	366.086     3.
0.07	425.997     3.
0.08	485.908     3.
0.09	545.819     3.
0.1	605.73     3.
0.11	665.641     3.
0.12	725.552     3.
0.13	785.463     3.
0.14	845.374     3.
0.15	905.285     3.
0.16	965.196     3.
0.18	1085.018     3.
0.2	1204.84     3.
0.25	1504.395     3.
0.3	1803.95     3.
0.35	2103.505     3.
0.4	2403.06     3.
0.45	2702.615     3.
0.5	3002.17     3.
0.6	3601.28     3.
0.7	4200.39     3.
0.8	4799.5     3.
0.9	5398.61     3.
1	5997.72     3.
1.25	7495.495     3.
1.5	8993.27     3.
1.75	10491.045     3.
2	11988.82     3.
2.5	14984.37     3.
3	17979.92     3.
3.5	20975.47     3.
4	23971.02     3.
5	29962.12     3.
6	35953.22     3.
7	41944.32     3.
8	47935.42     3.
9	53926.52     3.
10	59917.62     3.
