# PRIMAT v0.2.2, 23 June 2023 - Analytic Rate
# Caughlan & Fowler At. Data Nucl. Data Tables, 40 (1988), 283
0.001	1.42E-22    10.
0.002	7.56E-16    10.
0.003	1.35E-12    10.
0.004	1.50E-10    10.
0.005	4.23E-09    10.
0.006	5.39E-08    10.
0.007	4.09E-07    10.
0.008	2.17E-06    10.
0.009	8.89E-06    10.
0.01	2.99E-05    10.
0.011	8.60E-05    10.
0.012	0.0002190364773    10.
0.013	0.0005047724227    10.
0.014	0.001070771569    10.
0.015	0.002118781731    10.
0.016	0.003951819747    10.
0.018	0.01188463519    10.
0.02	0.0306137571    10.
0.025	0.2024297523    10.
0.03	0.8490078772    10.
0.04	6.76946727    10.
0.05	29.29090245    10.
0.06	88.81938198    10.
0.07	214.1514318    10.
0.08	440.6673981    10.
0.09	808.1173753    10.
0.1	1358.513501    10.
0.11	2134.354307    10.
0.12	3177.240517    10.
0.13	4526.860709    10.
0.14	6220.292977    10.
0.15	8291.561366    10.
0.16	10771.38973    10.
0.18	17062.64246    10.
0.2	25272.58457    10.
0.25	54925.0436    10.
0.3	98163.31121    10.
0.35	154755.313    10.
0.4	223803.1752    10.
0.45	304070.4366    10.
0.5	394186.7241    10.
0.6	598492.8327    10.
0.7	826537.8307    10.
0.8	1069784.018    10.
0.9	1321437.288    10.
1	1576245.102    10.
1.25	2203378.293    10.
1.5	2789438.832    10.
1.75	3318116.369    10.
2	3784746.259    10.
2.5	4539432.41    10.
3	5087436.117    10.
3.5	5470844.872    10.
4	5726995.558    10.
5	5971426.289    10.
6	5989207.569    10.
7	5879385.303    10.
8	5699926.792    10.
9	5485001.811    10.
10	5254874.065    10.
