# PRIMAT v0.2.2, 23 June 2023 - Analytic Rate
# Caughlan & Fowler At. Data Nucl. Data Tables, 40 (1988), 283
0.001	2.00E-22    10.
0.002	1.07E-15    10.
0.003	1.91E-12    10.
0.004	2.12E-10    10.
0.005	5.99E-09    10.
0.006	7.62E-08    10.
0.007	5.79E-07    10.
0.008	3.07E-06    10.
0.009	1.26E-05    10.
0.01	4.22E-05    10.
0.011	0.0001216519504    10.
0.012	0.0003098821878    10.
0.013	0.0007142038418    10.
0.014	0.001515195674    10.
0.015	0.002998489086    10.
0.016	0.005593155071    10.
0.018	0.01682403582    10.
0.02	0.04334537671    10.
0.025	0.2867445026    10.
0.03	1.203138895    10.
0.04	9.600639361    10.
0.05	41.57148187    10.
0.06	126.1448098    10.
0.07	304.3457212    10.
0.08	626.6571905    10.
0.09	1149.890836    10.
0.1	1934.197211    10.
0.11	3040.538922    10.
0.12	4528.713874    10.
0.13	6455.90043    10.
0.14	8875.649867    10.
0.15	11837.24039    10.
0.16	15385.31216    10.
0.18	24395.50562    10.
0.2	36168.29958    10.
0.25	78783.4522    10.
0.3	141104.4658    10.
0.35	222903.3671    10.
0.4	322981.2326    10.
0.45	439634.1407    10.
0.5	570947.0677    10.
0.6	869821.4959    10.
0.7	1205106.324    10.
0.8	1564507.791    10.
0.9	1938137.134    10.
1	2318263.411    10.
1.25	3261556.609    10.
1.5	4153404.584    10.
1.75	4967394.428    10.
2	5694457.186    10.
2.5	6892048.765    10.
3	7785977.529    10.
3.5	8432600.91    10.
4	8884172.617    10.
5	9366732.956    10.
6	9482465.105    10.
7	9382745.057    10.
8	9158926.615    10.
9	8866507.46    10.
10	8539463.064    10.
