# PRIMAT v0.2.2, 23 June 2023 - Analytic Rate
# Malaney & Fowler ApJ 345 (1989) L5
0.001	5100    3.
0.002	5100    3.
0.003	5100    3.
0.004	5100    3.
0.005	5100    3.
0.006	5100    3.
0.007	5100    3.
0.008	5100    3.
0.009	5100    3.
0.01	5100    3.
0.011	5100    3.
0.012	5100    3.
0.013	5100    3.
0.014	5100    3.
0.015	5100    3.
0.016	5100    3.
0.018	5100    3.
0.02	5100    3.
0.025	5100    3.
0.03	5100    3.
0.04	5100    3.
0.05	5100    3.
0.06	5100    3.
0.07	5100    3.
0.08	5100    3.
0.09	5100    3.
0.1	5100    3.
0.11	5100    3.
0.12	5100    3.
0.13	5100    3.
0.14	5100    3.
0.15	5100    3.
0.16	5100    3.
0.18	5100    3.
0.2	5100    3.
0.25	5100    3.
0.3	5100    3.
0.35	5100    3.
0.4	5100    3.
0.45	5100    3.
0.5	5100    3.
0.6	5100    3.
0.7	5100    3.
0.8	5100    3.
0.9	5100    3.
1	5100    3.
1.25	5100    3.
1.5	5100    3.
1.75	5100    3.
2	5100    3.
2.5	5100    3.
3	5100    3.
3.5	5100    3.
4	5100    3.
5	5100    3.
6	5100    3.
7	5100    3.
8	5100    3.
9	5100    3.
10	5100    3.
