# PRIMAT v0.2.2, 23 June 2023 - Analytic Rate
# Caughlan & Fowler At. Data Nucl. Data Tables, 40 (1988), 283
0.001	127425766.8     3.
0.002	130140070.8     3.
0.003	132566720.7     3.
0.004	134746656.8     3.
0.005	136713620.8     3.
0.006	138495644.9     3.
0.007	140116189.5     3.
0.008	141595022.7     3.
0.009	142948906.3     3.
0.01	144192136.8     3.
0.011	145336973.9     3.
0.012	146393984.7     3.
0.013	147372320.8     3.
0.014	148279943     3.
0.015	149123805.7     3.
0.016	149910008     3.
0.018	151330280.9     3.
0.02	152576708.2     3.
0.025	155104878.1     3.
0.03	157021365     3.
0.04	159705821     3.
0.05	161471917.2     3.
0.06	162706327.2     3.
0.07	163608963.6     3.
0.08	164292504     3.
0.09	164824791.3     3.
0.1	165248863     3.
0.11	165593214.7     3.
0.12	165877435.4     3.
0.13	166115527.9     3.
0.14	166318036.4     3.
0.15	166493542.8     3.
0.16	166649805.4     3.
0.18	166936614.3     3.
0.2	167252198.5     3.
0.25	168828084.9     3.
0.3	172965596.4     3.
0.35	181029228.5     3.
0.4	193382057.9     3.
0.45	209493863.6     3.
0.5	228355241.2     3.
0.6	269948653.8     3.
0.7	310957386.8     3.
0.8	347309092.6     3.
0.9	377433771.5     3.
1	401209037.6     3.
1.25	437144262.5     3.
1.5	449595554.9     3.
1.75	448596383.6     3.
2	440434022.8     3.
2.5	415602827     3.
3	388929172.6     3.
3.5	364489010.3     3.
4	343188133.1     3.
5	309325575     3.
6	284478948.5     3.
7	265893848     3.
8	251662522.3     3.
9	240520280.2     3.
10	231622287.6     3.
