# PRIMAT v0.2.2, 23 June 2023 - Analytic Rate
# Caughlan & Fowler At. Data Nucl. Data Tables, 40 (1988), 283
# Malaney & Fowler ApJ 345 (1989) L5
0.001	5.33E-36    3. 
0.002	4.78E-26    3. 
0.003	3.17E-21    3. 
0.004	3.45E-18    3. 
0.005	4.96E-16    3. 
0.006	2.19E-14    3. 
0.007	4.49E-13    3. 
0.008	5.42E-12    3. 
0.009	4.44E-11    3. 
0.01	2.71E-10    3. 
0.011	1.32E-09    3. 
0.012	5.34E-09    3. 
0.013	1.86E-08    3. 
0.014	5.75E-08    3. 
0.015	1.60E-07    3. 
0.016	4.07E-07    3. 
0.018	2.13E-06    3. 
0.02	8.82E-06    3. 
0.025	0.0001515282662    3. 
0.03	0.001318920177    3. 
0.04	0.03057256173    3. 
0.05	0.2833658282    3. 
0.06	1.539279756    3. 
0.07	5.920734983    3. 
0.08	17.93186743    3. 
0.09	45.63500723    3. 
0.1	101.816467    3. 
0.11	205.0273747    3. 
0.12	380.4294508    3. 
0.13	660.4144817    3. 
0.14	1084.994738    3. 
0.15	1701.979882    3. 
0.16	2566.966041    3. 
0.18	5301.118636    3. 
0.2	9878.586043    3. 
0.25	34149.51223    3. 
0.3	87353.52487    3. 
0.35	184032.1724    3. 
0.4	339061.412    3. 
0.45	566706.5695    3. 
0.5	880052.0433    3. 
0.6	1808695.826    3. 
0.7	3198970.284    3. 
0.8	5101176    3. 
0.9	7545599.8    3. 
1	10546698.84    3. 
1.25	20479518.46    3. 
1.5	33724191.42    3. 
1.75	49964442.89    3. 
2	68834613.63    3. 
2.5	113038291.3    3. 
3	163782837.7    3. 
3.5	219059029.8    3. 
4	277348277.2    3. 
5	398726489.2    3. 
6	521921054.7    3. 
7	643629678.7    3. 
8	762054856.9    3. 
9	876256094.3    3. 
10	985790198.1    3. 
