# PRIMAT v0.2.2, 23 June 2023 - Analytic Rate
# Hashimoto et al. Phys. Lett. B 674 (2009) 276
0.001	1.36E-72    3.
0.002	4.02E-55    3.
0.003	1.21E-46    3.
0.004	2.70E-41    3.
0.005	1.72E-37    3.
0.006	1.37E-34    3.
0.007	2.84E-32    3.
0.008	2.32E-30    3.
0.009	9.56E-29    3.
0.01	2.35E-27    3.
0.011	3.87E-26    3.
0.012	4.62E-25    3.
0.013	4.24E-24    3.
0.014	3.12E-23    3.
0.015	1.92E-22    3.
0.016	1.01E-21    3.
0.018	1.91E-20    3.
0.02	2.39E-19    3.
0.025	3.78E-17    3.
0.03	1.79E-15    3.
0.04	4.95E-13    3.
0.05	2.68E-11    3.
0.06	5.60E-10    3.
0.07	6.33E-09    3.
0.08	4.69E-08    3.
0.09	2.68E-07    3.
0.1	1.80E-06    3.
0.11	2.04E-05    3.
0.12	0.0002364347829    3.
0.13	0.002059620412    3.
0.14	0.0133973769    3.
0.15	0.06804355152    3.
0.16	0.281766386    3.
0.18	2.993524334    3.
0.2	19.69677081    3.
0.25	573.1008811    3.
0.3	5309.555227    3.
0.35	25654.99689    3.
0.4	82680.59498    3.
0.45	203667.8557    3.
0.5	416026.9843    3.
0.6	1196309.614    3.
0.7	2506255.142    3.
0.8	4315813.684    3.
0.9	6529534.763    3.
1	9030899.795    3.
1.25	15857571.15    3.
1.5	22607304.73    3.
1.75	28702195.84    3.
2	33961718.02    3.
2.5	42087301.92    3.
3	47676470.98    3.
3.5	51518813.86    3.
4	54215349.39    3.
5	57711386.76    3.
6	60150425.78    3.
7	62454811.33    3.
8	65055934.66    3.
9	68150240.9    3.
10	71816952.61    3.
