# PRIMAT v0.2.2, 23 June 2023 - Analytic Rate
# Nagai et al. PRC 74 (2006) 025804
0.001	1.16E-10    3.
0.002	1.70E-06    3.
0.003	0.0001717430305    3.
0.004	0.003109171198    3.
0.005	0.02415830962    3.
0.006	0.1146674753    3.
0.007	0.3958855789    3.
0.008	1.096467852    3.
0.009	2.586799478    3.
0.01	5.405853458    3.
0.011	10.27885107    3.
0.012	18.12579045    3.
0.013	30.06191877    3.
0.014	47.39165455    3.
0.015	71.59753815    3.
0.016	104.3256669    3.
0.018	202.6485892    3.
0.02	358.1356169    3.
0.025	1112.273669    3.
0.03	2619.226356    3.
0.04	8991.847897    3.
0.05	21341.02379    3.
0.06	40898.8828    3.
0.07	68318.22723    3.
0.08	103812.1622    3.
0.09	147287.7755    3.
0.1	198451.4478    3.
0.11	256885.7372    3.
0.12	322103.4012    3.
0.13	393584.4421    3.
0.14	470800.9899    3.
0.15	553233.6345    3.
0.16	640381.8093    3.
0.18	826951.5453    3.
0.2	1027057.684    3.
0.25	1568151.201    3.
0.3	2141595.083    3.
0.35	2725540.025    3.
0.4	3306910.147    3.
0.45	3878307.902    3.
0.5	4435972.769    3.
0.6	5505799.248    3.
0.7	6519312.17    3.
0.8	7489272.836    3.
0.9	8431411.647    3.
1	9361486.953    3.
1.25	11725657.66    3.
1.5	14285228.33    3.
1.75	17167389.01    3.
2	20456588.61    3.
2.5	28454514.34    3.
3	38508191.98    3.
3.5	50680852.48    3.
4	64955829.18    3.
5	99574522.92    3.
6	141770617.2    3.
7	190907929.6    3.
8	246395449.9    3.
9	307707117.7    3.
10	374380928.8    3.
